date,description,category,amount,type
2026-08-01,Mathnasium,Tutoring,180.0,Income
2026-08-08,Mathnasium,Tutoring,220.0,Income
2026-08-01,Panda Express,Food,25.24,Expense
2026-08-03,School Supplies,School,89.99,Expense
2026-08-04,Cheesecake factory,Food,92.94,Expense
2026-08-01,Part-Time Job Paycheck,Job,420.0,Income
2026-08-01,HEB Groceries,Food,54.32,Expense
2026-08-02,Chipotle,Food,12.48,Expense
2026-08-03,Target School Supplies,School,38.76,Expense
2026-08-04,Shell Gas,Transport,34.21,Expense
2026-08-05,Spotify,Subscriptions,11.99,Expense
2026-08-05,Coffee Shop,Food,6.45,Expense
2026-08-01,Part-Time Job Paycheck,Job,420.0,Income
2026-08-01,HEB Groceries,Food,54.32,Expense
2026-08-02,Chipotle,Food,12.48,Expense
2026-08-03,Target School Supplies,School,38.76,Expense
2026-08-04,Shell Gas,Transport,34.21,Expense
2026-08-05,Spotify,Subscriptions,11.99,Expense
2026-08-05,Coffee Shop,Food,6.45,Expense
2026-08-06,Amazon Dorm Supplies,Shopping,27.84,Expense
2026-08-07,Movie Theater,Entertainment,16.5,Expense
2026-08-08,Tutoring Session,Tutoring,60.0,Income
2026-08-09,HEB Groceries,Food,47.63,Expense
2026-08-10,Chick-fil-A,Food,10.87,Expense
2026-08-11,Campus Parking,Transport,15.0,Expense
2026-08-12,Textbook Rental,School,64.99,Expense
2026-08-13,Boba Tea,Food,6.75,Expense
2026-08-14,Part-Time Job Paycheck,Job,435.0,Income
2026-08-14,Discord Nitro,Subscriptions,9.99,Expense
2026-08-15,HEB Groceries,Food,51.27,Expense
2026-08-16,Restaurant with Friends,Food,24.68,Expense
2026-08-17,Uber,Transport,18.42,Expense
2026-08-18,Pharmacy,Health,14.36,Expense
2026-08-19,Campus Club Dues,School,25.0,Expense
2026-08-20,Target,Shopping,31.52,Expense
2026-08-21,Tutoring Session,Tutoring,75.0,Income
2026-08-22,HEB Groceries,Food,43.91,Expense
2026-08-23,Game Purchase,Entertainment,19.99,Expense
2026-08-24,Gas Station,Transport,31.76,Expense
2026-08-25,Coffee Shop,Food,5.89,Expense
2026-08-26,Campus Dining,Food,13.24,Expense
2026-08-27,Part-Time Job Paycheck,Job,410.0,Income
2026-08-28,HEB Groceries,Food,48.17,Expense
2026-08-29,Concert Ticket,Entertainment,32.0,Expense
2026-08-30,Laundry,Other,8.5,Expense
2026-08-31,Campus Dining,Food,11.36,Expense
2026-08-01,Part-Time Job Paycheck,Job,420.0,Income
2026-08-01,HEB Groceries,Food,54.32,Expense
2026-08-02,Chipotle,Food,12.48,Expense
2026-08-03,Target School Supplies,School,38.76,Expense
2026-08-04,Shell Gas,Transport,34.21,Expense
2026-08-05,Spotify,Subscriptions,11.99,Expense
2026-08-05,Coffee Shop,Food,6.45,Expense
2026-08-06,Amazon Dorm Supplies,Shopping,27.84,Expense
2026-08-07,Movie Theater,Entertainment,16.5,Expense
2026-08-08,Tutoring Session,Tutoring,60.0,Income
2026-08-09,HEB Groceries,Food,47.63,Expense
2026-08-10,Chick-fil-A,Food,10.87,Expense
2026-08-11,Campus Parking,Transport,15.0,Expense
2026-08-12,Textbook Rental,School,64.99,Expense
2026-08-13,Boba Tea,Food,6.75,Expense
2026-08-14,Part-Time Job Paycheck,Job,435.0,Income
2026-08-14,Discord Nitro,Subscriptions,9.99,Expense
2026-08-15,HEB Groceries,Food,51.27,Expense
2026-08-16,Restaurant with Friends,Food,24.68,Expense
2026-08-17,Uber,Transport,18.42,Expense
2026-08-18,Pharmacy,Health,14.36,Expense
2026-08-19,Campus Club Dues,School,25.0,Expense
2026-08-20,Target,Shopping,31.52,Expense
2026-08-21,Tutoring Session,Tutoring,75.0,Income
2026-08-22,HEB Groceries,Food,43.91,Expense
2026-08-23,Game Purchase,Entertainment,19.99,Expense
2026-08-24,Gas Station,Transport,31.76,Expense
2026-08-25,Coffee Shop,Food,5.89,Expense
2026-08-26,Campus Dining,Food,13.24,Expense
2026-08-27,Part-Time Job Paycheck,Job,410.0,Income
2026-08-28,HEB Groceries,Food,48.17,Expense
2026-08-29,Concert Ticket,Entertainment,32.0,Expense
2026-08-30,Laundry,Other,8.5,Expense
2026-08-31,Campus Dining,Food,11.36,Expense
